fighter_name,Stance,DOB,Height(cm),Weight(kg),Reach(cm)
Deividas Taurosevicius,Southpaw,1977-08-28,175.26,65.77083999999999,179.4303
Del Hawkins,Orthodox,,165.1,61.23492,168.7115
Delson Heleno,Orthodox,1977-11-16,180.34,83.91452,184.7897
Demetrious Johnson,Orthodox,1986-08-13,160.02,56.699,163.3521
Demetrius Gioulacos,Orthodox,,180.34,83.91452,184.7897
Demian Maia,Southpaw,1977-11-06,185.42,77.11064,190.14909999999998
Denis Kang,Orthodox,1977-09-17,180.34,83.91452,184.7897
Denis Sobolev,Orthodox,,190.5,97.975872,195.5085
Denis Stojnic,Orthodox,1980-02-02,182.88,111.13004,187.46939999999998
Dennis Bermudez,Orthodox,1986-12-13,167.64000000000001,70.30676,171.3912
Dennis Bryant,Orthodox,1985-10-18,182.88,92.98636,187.46939999999998
Dennis Dombrow,Orthodox,1986-03-17,,65.77083999999999,
Dennis Hallman,Orthodox,1975-12-02,175.26,70.30676,179.4303
Dennis Olson,Orthodox,,182.88,77.11064,187.46939999999998
Dennis Reed,Orthodox,,,92.98636,
Dennis Siver,Orthodox,1979-01-13,167.64000000000001,65.77083999999999,171.3912
Derek Anderson,Orthodox,1990-02-02,182.88,70.30676,187.46939999999998
Derek Bohi,Orthodox,,193.04,117.93392,198.1882
Derek Brunson,Southpaw,1984-01-04,185.42,83.91452,190.14909999999998
Derek Campos,Orthodox,1988-04-01,175.26,70.30676,179.4303
Derek Downey,Orthodox,1980-04-27,185.42,83.91452,190.14909999999998
Derek Getzel,Orthodox,,182.88,70.30676,187.46939999999998
Deron Winn,Orthodox,1989-06-13,167.64000000000001,83.91452,171.3912
Derrick Burnsed,Orthodox,,,70.30676,
Derrick Krantz,Orthodox,1988-01-13,177.8,77.11064,182.11
Derrick Lewis,Orthodox,1985-02-07,190.5,117.93392,195.5085
Derrick Mehmen,Orthodox,1985-05-30,193.04,92.98636,198.1882
Derrick Noble,Southpaw,1978-08-14,175.26,77.11064,179.4303
Deshaun Johnson,Orthodox,,,75.749864,
Desmond Green,Southpaw,1989-10-11,177.8,70.30676,182.11
Devin Clark,Orthodox,1990-04-12,182.88,92.98636,187.46939999999998
Devin Cole,Orthodox,1976-10-01,193.04,108.86207999999999,198.1882
Devin Johnson,Orthodox,,,,
Devin Powell,Orthodox,1988-03-01,182.88,70.30676,187.46939999999998
Devonte Smith,Orthodox,1993-07-30,175.26,70.30676,179.4303
Dewey Cooper,Orthodox,,,92.98636,
Dhafir Harris,Orthodox,1977-08-04,,116.573144,
Dhiego Lima,Orthodox,1989-01-31,187.96,77.11064,192.8288
Diana Belbita,Orthodox,,170.18,61.23492,174.0709
Diego Brandao,Orthodox,1987-05-27,170.18,65.77083999999999,174.0709
Diego Ferreira,Orthodox,1985-01-18,175.26,70.30676,179.4303
Diego Henrique da Silva,Orthodox,1986-08-22,187.96,83.91452,192.8288
Diego Nunes,Orthodox,1982-11-30,167.64000000000001,65.77083999999999,171.3912
Diego Rivas,Orthodox,1991-11-11,172.72,65.77083999999999,176.7506
Diego Sanchez,Southpaw,1981-12-31,177.8,77.11064,182.11
Diego Saraiva,Orthodox,1982-04-23,167.64000000000001,70.30676,171.3912
Dieusel Berto,Orthodox,,175.26,90.7184,179.4303
Dileno Lopes,Orthodox,1984-09-26,165.1,61.23492,168.7115
Dillon Smith,Orthodox,,182.88,77.11064,187.46939999999998
Dimitiri Wanderley,Orthodox,,,92.98636,
Din Thomas,Orthodox,1976-09-28,175.26,70.30676,179.4303
Dino Pezao,Orthodox,,,92.98636,
Dion Staring,Orthodox,1978-06-09,185.42,106.59412,190.14909999999998
Dmitri Stepanov,Orthodox,,190.5,98.429464,195.5085
Dmitrii Smoliakov,Switch,1982-08-05,187.96,114.758776,192.8288
Dmitry Poberezhets,Orthodox,1985-06-11,190.5,107.501304,195.5085
Dmitry Sosnovskiy,Orthodox,1989-07-06,190.5,108.86207999999999,195.5085
Dokonjonosuke Mishima,Southpaw,1972-04-19,170.18,70.30676,174.0709
Dom Pilarte,Southpaw,1990-01-05,182.88,61.23492,187.46939999999998
Dominic Brown,Orthodox,1982-06-04,180.34,86.18248,184.7897
Dominic Clark,Orthodox,1985-08-01,177.8,70.30676,182.11
Dominic Waters,Orthodox,1989-04-11,185.42,77.11064,190.14909999999998
Dominick Cruz,Orthodox,1985-03-09,172.72,61.23492,176.7506
Dominick Reyes,Southpaw,1989-12-26,193.04,92.98636,198.1882
Dominique Steele,Orthodox,1988-01-27,177.8,77.11064,182.11
Don Carlo-Clauss,Orthodox,,,77.11064,
Don Frye,Orthodox,1965-11-23,185.42,99.336648,190.14909999999998
Don Madge,Southpaw,1990-11-12,182.88,70.30676,187.46939999999998
Don'Tale Mayes,Orthodox,1992-01-16,198.12,117.93392,203.5476
Donald Cerrone,Orthodox,1983-03-29,185.42,70.30676,190.14909999999998
Donald Sanchez,Orthodox,1984-08-18,177.8,65.77083999999999,182.11
Donavon Frelow,Orthodox,1985-01-20,170.18,61.23492,174.0709
Dong Hyun Kim,Southpaw,1981-11-17,187.96,77.11064,192.8288
Dong Hyun Ma,Orthodox,1988-09-09,180.34,70.30676,184.7897
Dong Sik Yoon,Orthodox,1972-08-24,182.88,83.91452,187.46939999999998
Dongi Yang,Southpaw,1984-12-07,177.8,83.91452,182.11
Donnie Chappell,Southpaw,,180.34,80.739376,184.7897
Donnie Liles,Orthodox,,175.26,77.11064,179.4303
Donny Walker,Orthodox,1980-01-04,175.26,61.23492,179.4303
Dooho Choi,Orthodox,1991-04-10,177.8,65.77083999999999,182.11
Dorian Price,Southpaw,1977-08-20,190.5,77.11064,195.5085
Dos Caras Jr.,Orthodox,1977-05-25,193.04,102.0582,198.1882
Doug Evans,Orthodox,1980-10-10,175.26,70.30676,179.4303
Doug Kay,Orthodox,,,,
Doug Marshall,Orthodox,1975-09-09,177.8,92.98636,182.11
Douglas Lima,Orthodox,1988-01-05,185.42,77.11064,190.14909999999998
Douglas Silva de Andrade,Orthodox,1985-06-22,170.18,61.23492,174.0709
Drakkar Klose,Orthodox,1988-03-09,175.26,70.30676,179.4303
Drew Brokenshire,Orthodox,,,,
Drew Dimanlig,Orthodox,,,83.91452,
Drew Dober,Southpaw,1988-10-19,172.72,70.30676,176.7506
Drew Fickett,Orthodox,1979-12-14,177.8,70.30676,182.11
Drew McFedries,Southpaw,1978-07-27,182.88,83.91452,187.46939999999998
Drew Pendleton,Orthodox,1983-12-08,,65.77083999999999,
Duane Ludwig,Orthodox,1978-08-04,177.8,77.11064,182.11
Duda Santana,Orthodox,1996-01-10,170.18,65.77083999999999,174.0709
Dustin Hazelett,Orthodox,1986-04-29,185.42,77.11064,190.14909999999998
Dustin Jacoby,Orthodox,1988-04-04,193.04,83.91452,198.1882
Dustin Kimura,Orthodox,1989-05-21,170.18,61.23492,174.0709
Dustin Moore,Orthodox,,162.56,56.699,166.0318
Dustin Neace,Orthodox,1986-09-12,175.26,65.77083999999999,179.4303
Dustin Ortiz,Orthodox,1988-12-25,165.1,56.699,168.7115
Dustin Pague,Orthodox,1987-08-05,175.26,61.23492,179.4303
Dustin Poirier,Southpaw,1989-01-19,175.26,70.30676,179.4303
Dustin West,Orthodox,,180.34,77.11064,184.7897
Dwayne Cason,Orthodox,,177.8,96.161504,182.11
Dwight Grant,Switch,1984-09-14,185.42,77.11064,190.14909999999998
Dylan Andrews,Switch,1979-11-15,185.42,83.91452,190.14909999999998
Ebenezer Fontes Braga,Orthodox,1969-04-14,182.88,90.264808,187.46939999999998
Ed Herman,Orthodox,1980-10-02,185.42,92.98636,190.14909999999998
Ed Ratcliff,Orthodox,1983-03-05,177.8,70.30676,182.11
Eddie Alvarez,Orthodox,1984-01-11,175.26,70.30676,179.4303
Eddie Gordon,Orthodox,1983-07-22,182.88,83.91452,187.46939999999998
Eddie Mendez,Orthodox,1984-01-16,177.8,83.91452,182.11
Eddie Ruiz,Orthodox,1967-06-10,170.18,70.30676,174.0709
Eddie Sanchez,Orthodox,1982-11-04,187.96,104.32616,192.8288
Eddie Wineland,Orthodox,1984-06-26,170.18,61.23492,174.0709
Eddie Yagin,Orthodox,1979-03-23,170.18,65.77083999999999,174.0709
Eddy Ellis,Orthodox,,175.26,77.11064,179.4303
Eddy Millis,Orthodox,,185.42,83.91452,190.14909999999998
Edgar Cardenas,Orthodox,,,65.77083999999999,
Edgar Garcia,Orthodox,1984-02-22,177.8,77.11064,182.11
Edilberto de Oliveira,Orthodox,1982-11-22,182.88,77.11064,187.46939999999998
Edmen Shahbazyan,Orthodox,1997-11-20,187.96,83.91452,192.8288
Ednaldo Oliveira,Orthodox,1984-02-19,195.57999999999998,92.98636,200.86789999999996
Edson Barboza,Orthodox,1986-01-21,180.34,70.30676,184.7897
Edson Berto,Orthodox,1983-07-05,167.64000000000001,70.30676,171.3912
Edson Drago,Orthodox,1977-08-29,193.04,99.79024,198.1882
Edson Silva,Orthodox,,,92.98636,
Eduardo Bustillos,Orthodox,1987-06-02,172.72,61.23492,176.7506
Eduardo Dantas,Orthodox,1989-02-03,177.8,61.23492,182.11
Eduardo Pamplona,Orthodox,1973-02-20,180.34,77.11064,184.7897
Edward Faaloloto,Orthodox,1984-07-15,,70.30676,
Edwin Aguilar,Orthodox,,177.8,83.91452,182.11
Edwin DeWees,Orthodox,1982-08-07,185.42,83.91452,190.14909999999998
Edwin Figueroa,Orthodox,1984-07-31,170.18,61.23492,174.0709
Efrain Escudero,Orthodox,1986-01-15,175.26,70.30676,179.4303
Egan Inoue,Southpaw,1965-07-04,175.26,86.18248,179.4303
Egidijus Valavicius,Orthodox,,182.88,90.7184,187.46939999999998
Eiji Ishikawa,Orthodox,1979-10-12,177.8,77.11064,182.11
Eiji Mitsuoka,Southpaw,1976-01-01,170.18,65.77083999999999,174.0709
Elaina Maxwell,Orthodox,1978-12-16,172.72,65.77083999999999,176.7506
Eldari Kurtanidze,Orthodox,1972-04-16,167.64000000000001,106.59412,171.3912
Eldo Xavier Dias,Orthodox,1964-07-16,180.34,81.64656,184.7897
Eli Tamez,Orthodox,1985-08-22,170.18,61.23492,174.0709
Elias Garcia,Southpaw,1992-09-13,165.1,56.699,168.7115
Elias Silverio,Orthodox,1986-09-22,180.34,70.30676,184.7897
Elias Theodorou,Orthodox,1988-05-31,185.42,83.91452,190.14909999999998
Elias Urbina,Southpaw,1993-10-09,190.5,83.91452,195.5085
Eliot Marshall,Orthodox,1980-07-07,187.96,92.98636,192.8288
Elisha Helsper,Orthodox,1983-02-06,167.64000000000001,61.23492,171.3912
Elizabeth Phillips,Orthodox,1986-08-20,167.64000000000001,61.23492,171.3912
Elizeu Zaleski dos Santos,Orthodox,1986-12-11,180.34,77.11064,184.7897
Elvis Mutapcic,Orthodox,1986-07-19,182.88,83.91452,187.46939999999998
Elvis Sinosic,Orthodox,1971-02-13,190.5,92.98636,195.5085
Emanuel Newton,Orthodox,1984-01-02,185.42,92.98636,190.14909999999998
Emil Meek,Switch,1988-08-20,180.34,77.11064,184.7897
Emiliano Sordi,Orthodox,1991-02-15,187.96,92.98636,192.8288
Emilio Chavez,Orthodox,,175.26,65.77083999999999,179.4303
Emily Peters Kagan,Orthodox,1981-07-14,160.02,52.16308,163.3521
Emily Whitmire,Orthodox,1991-05-24,165.1,52.16308,168.7115
Emmanuel Sanchez,Orthodox,1990-08-11,175.26,65.77083999999999,179.4303
Emmanuel Yarborough,Open Stance,1960-09-05,203.2,349.26583999999997,208.90699999999998
Enrique Barzola,Orthodox,1989-04-28,170.18,65.77083999999999,174.0709
Enrique Marin,Orthodox,1986-09-02,177.8,77.11064,182.11
Enrique Watson,Orthodox,,,83.91452,
Enson Inoue,Orthodox,1967-04-15,177.8,95.25431999999999,182.11
Eric Bedard,Orthodox,1984-09-11,187.96,108.408488,192.8288
Eric Castile,Orthodox,,172.72,65.77083999999999,176.7506
Eric Esch,Orthodox,1968-08-03,180.34,158.7572,184.7897
Eric Galvan,Orthodox,,,70.30676,
Eric Irvin,Orthodox,1986-01-10,172.72,70.30676,176.7506
Eric Jacob,Orthodox,,,70.30676,
Eric Lawson,Orthodox,,182.88,83.91452,187.46939999999998
Eric Magana,Orthodox,,,,
Eric Martin,Orthodox,,,,
Eric Schafer,Orthodox,1977-09-20,190.5,83.91452,195.5085
Eric Schambari,Orthodox,1978-04-22,180.34,83.91452,184.7897
Eric Schwartz,Orthodox,,,92.98636,
Eric Shelton,Orthodox,1991-02-02,167.64000000000001,56.699,171.3912
Eric Smith,Southpaw,,,,
Eric Spicely,Orthodox,1986-09-29,185.42,83.91452,190.14909999999998
Eric Steenberg,Orthodox,1983-06-22,,70.30676,
Eric Wisely,Southpaw,1984-07-25,172.72,65.77083999999999,176.7506
Eric Wray,Orthodox,,182.88,77.11064,187.46939999999998
Erick Montano,Orthodox,1985-11-19,182.88,77.11064,187.46939999999998
Erick Sanchez,Orthodox,1990-10-04,177.8,65.77083999999999,182.11
Erick Silva,Orthodox,1984-06-21,182.88,77.11064,187.46939999999998
Erick Wanderlei,Orthodox,,185.42,92.98636,190.14909999999998
Ericka Almeida,Orthodox,1989-03-05,167.64000000000001,52.16308,171.3912
Erik Apple,Orthodox,1977-08-26,182.88,77.11064,187.46939999999998
Erik Koch,Southpaw,1988-10-04,177.8,70.30676,182.11
Erik Perez,Orthodox,1989-11-19,172.72,61.23492,176.7506
Ernest Chavez,Orthodox,1983-06-27,172.72,65.77083999999999,176.7506
Ernie Verdicia,Orthodox,,180.34,90.264808,184.7897
Errol Zimmerman,Orthodox,1986-04-20,190.5,83.91452,195.5085
Eryk Anders,Southpaw,1987-04-21,185.42,83.91452,190.14909999999998
Estefani Almeida,Orthodox,1988-10-17,162.56,56.699,166.0318
Estevan Payan,Orthodox,1982-03-14,177.8,65.77083999999999,182.11
Eugene Jackson,Orthodox,1966-09-23,172.72,83.91452,176.7506
Eugenio Tadeu,Orthodox,,172.72,72.57472,176.7506
Eun Soo Lee,Orthodox,1982-03-07,185.42,97.52228,190.14909999999998
Evan Dunham,Southpaw,1981-12-18,177.8,70.30676,182.11
Evan Esguerra,Orthodox,,,65.77083999999999,
Evan Tanner,Orthodox,1971-02-11,182.88,83.91452,187.46939999999998
Evangelista Santos,Orthodox,1977-12-12,177.8,77.11064,182.11
Everett Cummings,Orthodox,,,92.98636,
Everett Sims,Southpaw,1988-09-04,195.57999999999998,117.93392,200.86789999999996
Ewerton Teixeira,Orthodox,1982-02-13,185.42,109.76926399999999,190.14909999999998
Fabian Gonzalez,Orthodox,,177.8,61.23492,182.11
Fabiano Iha,Orthodox,1970-07-28,172.72,70.30676,176.7506
Fabiano Scherner,Orthodox,1972-06-30,190.5,116.573144,195.5085
Fabio Cherant,Orthodox,1994-11-25,,92.98636,
Fabio Gurgel,Orthodox,,182.88,92.98636,187.46939999999998
Fabio Maldonado,Orthodox,1980-03-17,185.42,92.98636,190.14909999999998
Fabio Mello,Southpaw,,165.1,70.30676,168.7115
Fabio Nascimento,Orthodox,,177.8,83.91452,182.11
Fabio Silva,Orthodox,1982-03-31,180.34,92.98636,184.7897
Fabricio Camoes,Orthodox,1978-12-23,177.8,70.30676,182.11
Fabricio Guerreiro,Orthodox,1990-07-24,177.8,65.77083999999999,182.11
Fabricio Werdum,Orthodox,1977-07-30,193.04,104.779752,198.1882
Falaniko Vitale,Orthodox,1974-07-14,177.8,83.91452,182.11
Fazlo Mulabitinovic,Orthodox,,,61.23492,
Federico Lopez,Orthodox,,162.56,63.049288,166.0318
Fedor Emelianenko,Orthodox,1976-09-28,182.88,104.32616,187.46939999999998
Felice Herrig,Orthodox,1984-09-18,162.56,52.16308,166.0318
Felicia Spencer,Orthodox,1990-11-29,167.64000000000001,65.77083999999999,171.3912
Felipe Arantes,Orthodox,1988-02-09,172.72,61.23492,176.7506
Felipe Colares,Orthodox,1994-03-31,175.26,61.23492,179.4303
Felipe Olivieri,Orthodox,1985-04-12,175.26,70.30676,179.4303
Felipe Portela,Orthodox,1987-11-23,,77.11064,
Felipe Silva,Orthodox,1984-05-08,182.88,70.30676,187.46939999999998
Felix Lee Mitchell,Orthodox,,,,
Fernando Bettega,Orthodox,1980-03-10,,77.11064,
Fernando Bruno,Orthodox,1982-02-24,167.64000000000001,65.77083999999999,171.3912
Fernando Gonzalez,Southpaw,1983-09-15,175.26,77.11064,179.4303
Filip Pejic,Orthodox,1992-07-21,172.72,61.23492,176.7506
Fiona Muxlow,Orthodox,1977-05-13,162.56,65.77083999999999,166.0318
Flavio Luiz Moura,Open Stance,,180.34,83.007336,184.7897
Floyd Sword,Orthodox,1976-08-24,182.88,83.91452,187.46939999999998
Forrest Griffin,Orthodox,1979-03-16,190.5,92.98636,195.5085
Forrest Petz,Orthodox,1975-09-22,175.26,77.11064,179.4303
Francesco Maturi,Orthodox,,,,
Francimar Barroso,Orthodox,1980-02-28,185.42,92.98636,190.14909999999998
Francis Carmont,Orthodox,1981-10-11,190.5,92.98636,195.5085
Francis Ngannou,Orthodox,1986-09-05,193.04,113.398,198.1882
Francisco Bueno,Orthodox,,175.26,102.0582,179.4303
Francisco France,Orthodox,1983-01-21,182.88,92.98636,187.46939999999998
Francisco Rivera,Orthodox,1981-10-08,172.72,61.23492,176.7506
Francisco Trevino,Orthodox,1981-12-17,175.26,70.30676,179.4303
Francisco Trinaldo,Southpaw,1978-08-24,175.26,70.30676,179.4303
Francois Botha,Orthodox,1968-09-28,187.96,117.93392,192.8288
Frank Camacho,Orthodox,1989-05-18,177.8,77.11064,182.11
Frank Caracci,Orthodox,,,,
Frank Gomez,Orthodox,1986-03-31,177.8,61.23492,182.11
Frank Hamaker,Orthodox,,,,
Frank Lester,Orthodox,1984-06-10,180.34,77.11064,184.7897
Frank Megallon,Southpaw,,177.8,83.91452,182.11
Frank Mir,Southpaw,1979-05-24,190.5,119.748288,195.5085
Frank Shamrock,Orthodox,1972-12-08,177.8,83.91452,182.11
Frank Trigg,Southpaw,1972-05-07,175.26,77.11064,179.4303
Frankie Edgar,Orthodox,1981-10-16,167.64000000000001,65.77083999999999,171.3912
Frankie Perez,Orthodox,1989-05-11,180.34,70.30676,184.7897
Frankie Saenz,Orthodox,1980-08-12,167.64000000000001,61.23492,171.3912
Fred Ettish,Southpaw,,182.88,81.64656,187.46939999999998
Frederick Brown,Orthodox,,182.88,106.59412,187.46939999999998
Fredson Paixao,Orthodox,1979-05-13,167.64000000000001,65.77083999999999,171.3912
Fredy Serrano,Orthodox,1979-09-22,160.02,56.699,163.3521
Gabe Lemley,Orthodox,,172.72,70.30676,176.7506
Gabe Ruediger,Orthodox,1977-08-29,177.8,70.30676,182.11
Gabriel Benitez,Southpaw,1988-06-15,172.72,65.77083999999999,176.7506
Gabriel Carrasco,Orthodox,,167.64000000000001,61.23492,171.3912
Gabriel Checco,Switch,1986-04-03,185.42,83.91452,190.14909999999998
Gabriel Gonzaga,Orthodox,1979-05-18,187.96,109.76926399999999,192.8288
Gabriel Miglioli,Orthodox,,172.72,77.11064,176.7506
Gabriel Salinas-Jones,Orthodox,1984-11-20,185.42,111.13004,190.14909999999998
Gabriel Silva,Orthodox,1994-08-26,167.64000000000001,61.23492,171.3912
Gabrielle Holloway,Orthodox,1990-04-15,160.02,65.77083999999999,163.3521
Gadzhimurad Antigulov,Orthodox,1987-02-09,180.34,92.98636,184.7897
Galore Bofando,Switch,1982-05-22,180.34,77.11064,184.7897
Gan McGee,Orthodox,1976-11-20,208.28,120.20188,214.2664
Gareth Joseph,Orthodox,,,92.98636,
Garett Whiteley,Orthodox,1980-12-13,182.88,70.30676,187.46939999999998
Garreth McLellan,Southpaw,1982-09-01,185.42,83.91452,190.14909999999998
Garrett Gross,Orthodox,1988-08-08,175.26,70.30676,179.4303
Garrett Mueller,Orthodox,1989-01-29,175.26,61.23492,179.4303
Gary Frazier,Orthodox,,182.88,111.13004,187.46939999999998
Gary Goodridge,Orthodox,1966-01-17,190.5,112.944408,195.5085
Gary Padilla,Orthodox,1980-05-04,180.34,92.98636,184.7897
Gary Quan,Orthodox,1971-04-11,172.72,64.863656,176.7506
Gary Tapusoa,Orthodox,,170.18,83.91452,174.0709
Gasan Umalatov,Orthodox,1982-09-11,180.34,77.11064,184.7897
Gaston Reyno,Orthodox,1986-11-11,182.88,65.77083999999999,187.46939999999998
Gavin Tucker,Southpaw,1986-06-17,167.64000000000001,65.77083999999999,171.3912
Geane Herrera,Orthodox,1990-05-27,165.1,56.699,168.7115
Gegard Mousasi,Orthodox,1985-08-01,187.96,83.91452,192.8288
Genki Sudo,Orthodox,1978-03-08,175.26,70.30676,179.4303
Gennaro Strangis,Orthodox,,,,
Geoff Neal,Southpaw,1990-08-28,180.34,77.11064,184.7897
George Allen,Open Stance,1967-01-13,187.96,92.98636,192.8288
George Bush,Orthodox,,185.42,92.98636,190.14909999999998
George Pacurariu,Orthodox,1984-07-28,170.18,61.23492,174.0709
George Roop,Orthodox,1981-11-10,185.42,61.23492,190.14909999999998
George Sotiropoulos,Orthodox,1977-07-09,177.8,70.30676,182.11
George Stork,Orthodox,,177.8,83.91452,182.11
George Sullivan,Orthodox,1981-03-13,182.88,77.11064,187.46939999999998
George Zuniga,Orthodox,,175.26,83.91452,179.4303
Georges St-Pierre,Orthodox,1981-05-19,180.34,83.91452,184.7897
Georgi Karakhanyan,Orthodox,1985-05-29,172.72,65.77083999999999,176.7506
Gerald Harris,Southpaw,1979-11-19,180.34,83.91452,184.7897
Gerald Meerschaert,Southpaw,1987-12-18,185.42,83.91452,190.14909999999998
Gerald Strebendt,Orthodox,1979-03-01,175.26,70.30676,179.4303
Geraldo de Freitas,Orthodox,1991-09-30,175.26,61.23492,179.4303
Gerard Gordeau,Orthodox,1959-03-30,195.57999999999998,97.975872,200.86789999999996
Germaine de Randamie,Orthodox,1984-04-24,175.26,61.23492,179.4303
Geronimo dos Santos,Orthodox,1980-08-17,190.5,119.748288,195.5085
Gerric Hayes,Orthodox,,177.8,,182.11
Gerry Harris,Orthodox,,203.2,122.46984,208.90699999999998
Gesias Cavalcante,Orthodox,1983-07-06,172.72,70.30676,176.7506
Geza Kalman,Orthodox,,185.42,90.7184,190.14909999999998
Giacomo Lemos,Orthodox,1989-06-23,190.5,115.66596,195.5085
Gian Villante,Orthodox,1985-08-18,190.5,92.98636,195.5085
Gideon Ray,Southpaw,1973-05-27,177.8,83.91452,182.11
Giga Chikadze,Orthodox,1988-08-25,182.88,65.77083999999999,187.46939999999998
Gil Castillo,Southpaw,1965-10-21,175.26,77.11064,179.4303
Gilbert Aldana,Orthodox,1977-08-25,185.42,113.398,190.14909999999998
Gilbert Burns,Orthodox,1986-07-20,177.8,70.30676,182.11
Gilbert Jimenez,Orthodox,,,70.30676,
Gilbert Melendez,Orthodox,1982-04-12,175.26,65.77083999999999,179.4303
Gilbert Rael,Orthodox,,172.72,70.30676,176.7506
Gilbert Smith,Southpaw,1981-10-19,175.26,83.91452,179.4303
Gilbert Yvel,Orthodox,1976-06-30,187.96,102.0582,192.8288
Gilles Arsene,Southpaw,,175.26,86.18248,179.4303
Gillian Robertson,Orthodox,1995-05-17,165.1,56.699,168.7115
Gina Carano,Orthodox,1982-04-16,172.72,65.77083999999999,176.7506
Gina Mazany,Southpaw,1988-08-19,167.64000000000001,61.23492,171.3912
Gisele Moreira,Orthodox,1981-01-14,167.64000000000001,61.23492,171.3912
Glaico Franca,Orthodox,1991-02-28,182.88,70.30676,187.46939999999998
Gleidson Cutis,Orthodox,1989-02-07,175.26,70.30676,179.4303
Gleison Tibau,Southpaw,1983-10-07,177.8,70.30676,182.11
Gleristone Santos,Orthodox,1988-08-20,175.26,65.77083999999999,179.4303
Glover Teixeira,Orthodox,1979-10-28,187.96,92.98636,192.8288
Godofredo Pepey,Orthodox,1987-07-02,170.18,65.77083999999999,174.0709
Goiti Yamauchi,Orthodox,1993-01-05,177.8,65.77083999999999,182.11
Gokhan Saki,Orthodox,1983-10-19,182.88,92.98636,187.46939999999998
Goldman Butler,Orthodox,,,,
Goran Reljic,Southpaw,1984-03-20,190.5,92.98636,195.5085
Grant Dawson,Switch,1994-02-20,177.8,65.77083999999999,182.11
Gray Maynard,Orthodox,1979-05-09,175.26,70.30676,179.4303
Greg Hardy,Orthodox,1988-07-28,195.57999999999998,120.20188,200.86789999999996
Greg McIntyre,Orthodox,1980-04-21,177.8,70.30676,182.11
Greg Nagy,Orthodox,1983-10-18,185.42,95.25431999999999,190.14909999999998
Greg Rebello,Southpaw,1982-06-13,182.88,108.86207999999999,187.46939999999998
Greg Scott,Orthodox,,175.26,65.77083999999999,179.4303
Greg Soto,Orthodox,1986-06-03,180.34,77.11064,184.7897
Greg Stott,Southpaw,,170.18,99.79024,174.0709
Greg Wilson,Orthodox,1988-10-02,,70.30676,
Gregor Gillespie,Orthodox,1986-11-13,170.18,70.30676,174.0709
Gregory Bouchelaghem,Switch,,187.96,83.007336,192.8288
Grigorii Popov,Switch,1984-04-18,170.18,61.23492,174.0709
Guido Cannetti,Southpaw,1979-12-19,167.64000000000001,61.23492,171.3912
Guilherme Costa,Orthodox,,,70.30676,
Guilherme Vasconcelos,Orthodox,1986-03-23,182.88,83.91452,187.46939999999998
Guilherme Viana,Orthodox,,193.04,92.98636,198.1882
Gunnar Nelson,Switch,1988-07-28,180.34,77.11064,184.7897
Gustavo Gabriel,Orthodox,1994-04-01,167.64000000000001,56.699,171.3912
Guto Inocente,Orthodox,1986-05-29,190.5,92.98636,195.5085
Guy Mezger,Orthodox,1968-01-01,185.42,90.7184,190.14909999999998
Hacran Dias,Orthodox,1984-06-16,172.72,70.30676,176.7506
Hakeem Dawodu,Orthodox,1991-07-02,172.72,65.77083999999999,176.7506
Han Ten Yun,Orthodox,,180.34,99.79024,184.7897
Hannah Cifers,Orthodox,1992-06-26,154.94,52.16308,157.99269999999999
Hannah Goldy,Orthodox,1992-05-18,162.56,52.16308,166.0318
Hans Nijman,Switch,1959-10-23,182.88,113.398,187.46939999999998
Hans Stringer,Orthodox,1987-07-06,190.5,92.98636,195.5085
Harold Howard,Orthodox,,187.96,108.86207999999999,192.8288
Harris Sarmiento,Orthodox,1983-09-09,175.26,70.30676,179.4303
Harry Moskowitz,Orthodox,,195.57999999999998,124.7378,200.86789999999996
Hatsu Hioki,Orthodox,1983-07-18,180.34,65.77083999999999,184.7897
Haven Torres,Orthodox,,,56.699,
Hayato Sakurai,Orthodox,1975-08-24,170.18,76.203456,174.0709
Hayder Hassan,Orthodox,1982-10-20,177.8,77.11064,182.11
He-Man Gipson,Orthodox,,,,
Heath Herring,Orthodox,1978-03-02,193.04,113.398,198.1882
Heather Jo Clark,Orthodox,1980-09-19,167.64000000000001,52.16308,171.3912
Hector Aldana,Orthodox,1988-08-17,180.34,77.11064,184.7897
Hector Lombard,Southpaw,1978-02-02,175.26,83.91452,179.4303
Hector Ramirez,Orthodox,1976-03-28,182.88,92.98636,187.46939999999998
Hector Sandoval,Orthodox,1986-07-19,157.48000000000002,56.699,160.6724
Hector Urbina,Orthodox,1987-09-17,180.34,77.11064,184.7897
Helio Dipp,Orthodox,,195.57999999999998,83.91452,200.86789999999996
Henrique da Silva,Orthodox,1989-09-01,190.5,92.98636,195.5085
Henry Briones,Orthodox,1980-10-22,172.72,61.23492,176.7506
Henry Cejudo,Orthodox,1987-02-09,162.56,61.23492,166.0318
Henry Corrales,Orthodox,,175.26,65.77083999999999,179.4303
Henry Martinez,Southpaw,1983-08-07,170.18,70.30676,174.0709
Henry Miller,Southpaw,1969-07-16,170.18,122.46984,174.0709
Herman Renting,Switch,,182.88,97.52228,187.46939999999998
Herman Terrado,Orthodox,,,77.11064,
Hermes Franca,Orthodox,1974-08-26,167.64000000000001,70.30676,171.3912
Hernani Perpetuo,Orthodox,1985-05-24,182.88,77.11064,187.46939999999998
